#,Add I,POS I,Component I,POS II,Component II,Add II
101,,v,assume,n,(the) role,(of)
102,,adj,atomic,n,energy,
103,,v,attend,n,(a) conference,
104,,adj,available,n,data,
105,,adj,available,n,evidence,
106,,adj,available,n,information,
107,,adj,available,n,resources,
108,,adj,average,n,score,
109,,n,background,n,knowledge,
110,,adj,basic,n,assumption,
111,,adj,basic,n,component,
112,,adj,basic,n,concept,
113,,adj,basic,n,element,
114,,adj,basic,n,function,
115,,adj,basic,n,information,
116,,adj,basic,n,premise,
117,,adj,basic,n,principle,
118,,adj,basic,n,research,
119,,adj,basic,n,structure,
120,,adj,basic,n,technique,
121,,v,bear,n,resemblance,(to)
122,,v,become,adj,apparent,
123,,v,become,adj,available,
124,,v,become,adj,aware,(of)
125,,v,become,adj,blurred,
126,,v,become,adj,established,
127,,v,become,adj,evident,
128,,v,become,adj,independent,
129,,v ,become,adj,involved,(with/in)
130,,v,become,adj,obvious,
131,,v,become,adj,visible,
132,,v,become,adj,widespread,
133,,v,become,n,(a) source,(of)
134,,v,become,n,(the) focus,(of)
135,,v,begin,n,(a) process,
136,,v,behave,adv,differently,
137,,adj,beneficial,n,effect,
138,(be),adv,best,vpp,described,(as/in terms of)
139,,adj,binary,n,opposition,
140,,adj,binary,n,system,
141,,adj,biological,n,evolution,
142,,adj,biological,n,science,
143,,adj,biological,n,sex,
144,,adj,brief,n,account,
145,,adj,brief,n,description,
146,,adj,brief,n,discussion,
147,,adj,brief,n,history,
148,,adj,brief,n,introduction,
149,,adj,brief,n,overview,
150,,adj,brief,n,period,
151,,adj,brief,n,review,
152,,adj,brief,n,summary,
153,(a),adj,brief,n,time,
154,,adv,briefly,v,describe,
155,,adv,briefly,v,discuss,
156,,adj,broad,n,agreement,
157,,adj,broad,n,category,
158,,adj,broad,n,definition,
159,(a),adj,broad,n,range,(of)
160,,adj,broad,n,spectrum,
161,,adj,broader,n,context,
162,(be),adv,broadly,vpp,defined,
163,,adv,broadly,adj,similar,
164,,n ,business,n,sector,
165,,n,business,n,transaction,
166,,adj,capitalist,n,country,
167,,adj,capitalist,n,economy,
168,,adj,capitalist,n,society,
169,,adj,capitalist,n,system,
170,,adj,capitalist,n,world,
171,,n,career,n,development,
172,,n,career,n,opportunity,
173,,adj,careful,n,analysis,
174,,adj,careful,n,attention,
175,,adj,careful,n,consideration,
176,,adj,careful,n,thought,
177,(be),adv,carefully,vpp,controlled,
178,(be),adv,carefully,vpp,selected,
179,,v,carry,n,information,
180,,v,carry out,n,research,(of)
181,,v,carry out,n,(the) task,
182,,v,cast,n,doubt,(on)
183,,adj,causal,n,link,
184,,adj,causal,n,relation,
185,,adj,causal,n,relationship,
186,,v,cause,n,consequences,
187,,v,cause,n,stress,
188,,adj,central,n,authority,
189,,adj,central,n,concept,
190,,adj,central,n,concern,
191,,adj,central,n,control,
192,,adj,central,n,core,
193,,adj,central,n,feature,
194,,adj,central,n,focus,
195,,adj,central,n,government,
196,,adj,central,n,importance,
197,,adj,central,n,issue,
198,,adj,central,n,part,
199,,adj,central,n,point,
200,,adj,central,n,position,
201,,adj,central,n,problem,
202,,adj,central,n,question,
203,,adj,central,n,role,
204,,adj,central,n,tenet,
205,,adj,central,n,theme,
206,,adj,certain,n,aspect,
207,,adj,certain,n,assumptions,
208,,adj,certain,n,characteristics,
209,,adj,certain,n,circumstances,
210,,v,change,adv,constantly,
211,,v,change,adv,dramatically,
212,,v,change,adv,rapidly,
213,,v,change,n,(an) attitude,
214,,adj,changing,n,attitudes,
215,,adj,changing,n,circumstances,
216,,adj,changing,n,nature,
217,,adj,changing,n,needs,
218,,adj,changing,n,pattern,
219,,adj,changing,n,world,
220,,adj,characteristic,n,feature,
221,,adj,chemical,n,reaction,
222,,adj,civil,n,case,
223,,adj,civil,n,society,
224,,n,class,n,consciousness,
225,,adj,classic,n,example,
226,,adj,classic,n,study,
227,,adj,classic,n,text,
228,,adj,classic,n,work,
229,,adj,classical,n,theory,
230,,adj,clear,n,boundary,
231,,adj,clear,n,distinction,
232,(no),adj,clear,n,evidence,
233,,adj,clear,n,focus,
234,,adj,clear,n,indication,
235,,adj,clear,n,relationship,
236,,adj,clear,n,statement,
237,,adj,clear,n,structure,
238,(be),adv,clearly,vpp,defined,
239,(be),adv,clearly,vpp,demonstrated,
240,(be),adv,clearly,vpp,established,
241,,adv,clearly,adj,evident,
242,(be),adv,clearly,vpp,identified,
243,,adv,clearly,adj,important,
244,(be),adv,clearly,vpp,related,(to)
245,,adv,clearly,v,understand,
246,,adv,clearly,adj,visible,
247,,n,climate,n,change,
248,,adj,climatic,n,conditions,
249,,adj,close,n,contact,
250,,adj,close,n,proximity,
251,,adj,close,n,relationship,
252,,adj,close,n,scrutiny,
253,(be),adv,closely,vpp,allied,(to/with)
254,(be),adv,closely,vpp,associated,(with)
255,(be),adv,closely,vpp,connected,(to/with)
256,(be),adv,closely,vpp,linked,(to/with)
257,(be),adv,closely,vpp,related,(to)
258,,adv,closely,v,resemble,
259,(be),adv,closely,vpp,tied,
260,(upon/on),adj,closer,n,examination,
261,(on/upon),adj,closer,n,inspection,
262,,adj,closer,n,look,
263,,adj,cognitive,n,ability,
264,,adj,cognitive,n,development,
265,,adj,cognitive,n,skills,
266,,adj,collaborative,n,learning,
267,,v,collect,n,data,
268,,v,collect,n,information,
269,,adj,collective,n,action,
270,,adj,collective,n,identity,
271,,adj,collective,n,memory,
272,,adj,combined,n,effect,
273,(to),v,come into,n,conflict,(with)
274,(to),v,come into ,n,contact,(with)
275,,adj,commercial,n,activity,
276,,adj,commercial,n,transaction,
277,(to),v,commit,n,(a) crime,
278,(to),v,commit,n,(an) offence,
279,,adj,common,n,ancestor,
280,,adj,common,n,approach,
281,,adj,common,n,assumption,
282,,adj,common,n,characteristic,
283,,adj,common,n,culture,
284,,adj,common,n,error,
285,,adj,common,n,feature,
286,,adj,common,n,goal,
287,,adj,common,n,method,
288,,adj,common,n,source,
289,,adj,common,n,theme,
290,,adj,common,n,usage,
291,(be),adv,commonly,vpp,accepted,
292,(be),adv,commonly,vpp,associated,(with)
293,(be),adv,commonly,vpp,called,
294,(be),adv,commonly,vpp,encountered,
295,(be),adv,commonly,vpp,found,(in)
296,(be),adv,commonly,vpp,known,(as)
297,(be),adv,commonly,vpp,referred,(to/as)
298,(be),adv,commonly,vpp,used,
299,,v,communicate,adv,effectively,
300,,adj,comparative,n,analysis,
301,,adj,comparative,n,research,
302,,adj,comparative,n,study,
303,(the most),adj,compelling,n,argument,
304,,adj,compelling,n,evidence,
305,,adj,compelling,n,reason,
306,,adj,competitive,n,market,
307,,adj,competitive,n,pressure,
308,(to),v,complete,n,(a) task,
309,,adj,complex,n,area,
310,,adj,complex,n,interaction,
311,(a),adj,complex,n,issue,
312,,adj,complex,n,pattern,
313,,adj,complex,n,problem,
314,,adj,complex,n,process,
315,,adj,complex,n,question,
316,,adj,complex,n,relationship,
317,,adj,complex,n,set,
318,,adj,complex,n,situation,
319,,adj,complex,n,structure,
320,,adj,complex,n,system,
321,,adj,comprehensive,n,account,
322,,adj,comprehensive,n,approach,
323,,adj,comprehensive,n,overview,
324,,adj,comprehensive,n,review,
325,,adj,comprehensive,n,system,
326,,adj,conceptual,n,framework,
327,,adj,concerted,n,effort,
328,,adj,concluding,n,remarks,
329,,adj,concluding,n,section,
330,,adj,conditional ,n,probability,
331,,v,conduct,n,research,
332,,v,conduct,n,(a) study,
333,,v,conduct,n,(a) survey,
334,,v,conduct,n,(an) analysis,
335,,v,conduct,n,(an) interview,
336,,n,conflict,n,resolution,
337,,adj,conflicting,n,interests,
338,,v,consider,adj,appropriate,
339,,v,consider,adj,relevant,
340,,v,consider,n,(a) possibility,
341,,v,consider,n,(an) aspect,
342,,v,consider,n,(an) issue,
343,,v,consider,n,(the) impact,(of)
344,,v,consider,n,(the) implications,
345,,v,consider,n,(the) role,(of)
346,(a),adj,considerable,n,amount,(of)
347,,adj,considerable,n,attention,
348,,adj,considerable,n,debate,
349,(a),adj,considerable,n,degree,(of)
350,(in),adj,considerable,n,detail,
351,,adj,considerable,n,effort,
352,,adj,considerable,n,evidence,
353,(to a),adj,considerable,n,extent,
354,(be of),adj,considerable,n,importance,
355,,adj,considerable,n,influence,
356,,adj,considerable,n,interest,
357,,adj,considerable,n,research,
358,,adj,considerable,n,support,
359,,adj,considerable,n,variation,
360,,adj,consistent,n,pattern,
361,,adj,consistent,n,results,
362,,adj,constant,n,rate,
363,,adj,constituent,n,elements,
364,,adj,constituent,n,parts,
365,,v,contain,n,information,
366,,v,contain,n,(an) element,
367,,adj,contemporary,n,debate,
368,,adj,contemporary,n,issue,
369,,adj,contemporary,n,life,
370,,adj,contemporary,n,society,
371,,adj,contemporary,n,world,
372,,adj,contextual,n,factors,
373,,adj,continued,n,existence,
374,,adj,continued,n,growth,
375,,adj,continued,n,use,
376,,adj,continuous,n,process,
377,,v,contribute,adv,significantly,
378,,v,contribute to,n,(the) development,(of)
379,,adj,controversial,n,issue,
380,,adj,conventional,n,view,
381,,adj,conventional,n,wisdom,
382,,v,convey,n,information,
383,,v,convey,n,meaning,
384,,v,convey,n,(a) message,
385,,adj,convincing,n,evidence,
386,,adj,coping,n,strategy,
387,,adj,core,n,area,
388,,adj,core,n,element,
389,,adj,core,n,issue,
390,,adj,core,n,skills,
391,,adj,core,n,value,
392,,adj,correct,n,interpretation,
393,,v,correct,n,(an) error,
394,,adj,counter,n,argument,
395,,v,cover,n,(a) range,(of)
396,,v,cover,n,(a) topic,
397,,v,cover,n,(an) area,
398,,v,create,n,conditions,
399,,v,create,n,opportunities,
400,,v,create,n,problems,
401,,v,create,n,(an) environment,
402,,v,create,n,(an) impression,
403,,v,create,n,(an) opportunity,
404,,adj,creative,n,process,
405,,adj,creative,n,thinking,
406,,adj,creative,n,work,
407,,adj,criminal,n,offence,
408,,adj,critical,n,analysis,
409,,adj,critical,n,approach,
410,,adj,critical,n,attention,
411,,adj,critical,n,essay,
412,,adj,critical,n,evaluation,
413,,adj,critical,n,examination,
414,,adj,critical,n,factor,
415,,adj,critical,n,importance,
416,,adj,critical,n,inquiry,
417,,adj,critical,n,introduction,
418,,adj,critical,n,issue,
419,,adj,critical,n,perspective,
420,,adj,critical,n,point,
421,,adj,critical,n,reflection,
422,,adj,critical,n,review,
423,,adj,critical,n,role,
424,,adj,critical,n,scrutiny,
425,,adj,critical,n,theory,
426,,adj,critical,n,thinking,
427,,adj,critical,n,writing,
428,,adv,critically,v,evaluate,
429,,adj,crucial,n,difference,
430,,adj,crucial,n,factor,
431,,adj,crucial,n,importance,
432,,adj,crucial,n,part,
433,,adj,crucial,n,point,
434,,adj,crucial,n,question,
435,,adj,crucial,n,role,
436,,adj,cultural,n,activity,
437,,adj,cultural,n,aspect,
438,,adj,cultural,n,attitudes,
439,,adj,cultural,n,background,
440,,adj,cultural,n,boundary,
441,,adj,cultural,n,change,
442,,adj,cultural,n,context,
443,,adj,cultural,n,difference,
444,,adj,cultural,n,dimension,
445,,adj,cultural,n,diversity,
446,,adj,cultural,n,factors,
447,,adj,cultural,n,heritage,
448,,adj,cultural,n,history,
449,,adj,cultural,n,identity,
450,,adj,cultural,n,influence,
451,,adj,cultural,n,institution,
452,,adj,cultural,n,issue,
453,,adj,cultural,n,life,
454,,adj,cultural,n,norm,
455,,adj,cultural,n,perspective,
456,,adj,cultural,n,phenomenon,
457,,adj,cultural,n,practice,
458,,adj,cultural,n,significance,
459,,adj,cultural,n,theory,
460,,adj,cultural,n,tradition,
461,,adj,cultural,n,values,
462,,adv,culturally,adj,specific,
463,(in the),adj,current,n,climate,
464,,adj,current,n,issue,
465,,adj,current,n,policy,
466,,adj,current,n,research,
467,,adj,current,n,status,
468,,adj,current,n,technology,
469,,adj,current,n,trend,
470,,adv,currently,adj,available,
471,,adj,daily,n,living,
472,,n,data,n,gathering,
473,,n,data,n,set,
474,,v,deal with,n,(an) issue,
475,,v,deem,adj,appropriate,
476,,v,deem,adj,necessary,
477,(a),adj,deep,n,understanding,(of)
478,(at/on a),adj,deeper,n,level,
479,(be),adv,deeply,vpp,embedded,
480,(be),adv,deeply,vpp,rooted,
481,(a),adj,defining,n,characteristic,
482,(a),adj,defining,n,concept,
483,(a),adj,defining,n,feature,
484,(a),adj,deliberate,n,attempt,
485,(a),adj,democratic,n,institution,
486,(a),adj,democratic,n,process,
487,(a),adj,democratic,n,society,
488,(a),adj,democratic,n,state,
489,(a),adj,demographic,n,change,
490,(a),adj,demographic,n,characteristic,
491,(a),adj,demographic,n,factor,
492,,v,demonstrate,n,competence,
493,(be),adv,densely,vpp,populated,
494,,v,deny,n,access,(to)
495,,adj,dependent,n,variable,
496,,v,describe,n,(a) method,
497,,v,describe,n,(a) process,
498,,v,describe,n,(a) procedure,
499,,adj,descriptive,n,statistics,
500,,adj,desired,n,outcome,
501,,adj,detailed,n,analysis,
502,,adj,detailed,n,examination,
503,,adj,detailed,n,information,
504,,adj,detailed,n,study,
505,,v,develop,n,(a) method,
506,,v,develop,n,(a) strategy,
507,,v,develop,n,(a) technique,
508,,v,develop,n,(a) theory,
509,,v,develop,n,(an) approach,
510,,v,develop,n,(an) argument,
511,,adj,developmental,n,process,
512,,adj,developmental,n,stage,
513,,adj,diagnostic,n,test,
514,,v,differ,adv,considerably,
515,,v,differ,adv,significantly,
516,,v,differ,adv,widely,
517,,adj,digital,n,information,
518,,adj,digital,n,media,
519,,adj,digital,n,technology,
520,,adj,direct,n,access,
521,,adj,direct,n,communication,
522,,adj,direct,n,consequences,
523,,adj,direct,n,contact,
524,,adj,direct,n,evidence,
525,,adj,direct,n,impact,
526,,adj,direct,n,involvement,
527,,adj,direct,n,link,
528,,adj,direct,n,observation,
529,,adj,direct,n,relationship,
530,,adj,direct,n,role,
531,,adv,directly,v,affect,
532,(be),adv,directly,vpp,affected,
533,(be),adv,directly,vpp,connected,(to/with)
534,(be),adv,directly,vpp,involved,(in)
#535,(be),adv,directly,vpp,linked,(to)
536,(be),adv,directly,vpp,linked,(to/with)
537,(be),adv,directly,adj,proportional,(to)
538,(be),adv,directly,vpp,related,(to)
539,(be),adv,directly,adj,responsible,(for)
540,,v,disclose,n,information,
541,,v,discuss,n,(a) topic,
542,,v,discuss,n,(an) issue,
543,,adj,disposable,n,income,
544,,adj,distinct,n,group,
545,,adj,distinct,n,type,
546,,adj,distinctive,n,feature,
547,,adj,distinguishing,n,feature,
548,,adj,diverse,n,background,
549,,adj,diverse,n,group,
550,(a),adj,diverse,n,range,(of)
551,,adj,dividing,n,line,
552,,adj,documentary,n,evidence,
553,,adj,domestic,n,market,
554,,adj,domestic,n,sphere,
555,,adj,domestic,n,violence,
556,,adj,dominant,n,culture,
557,,adj,dominant,n,discourse,
558,,adj,dominant,n,form,
559,,adj,dominant,n,group,
560,,adj,dominant,n,ideology,
561,,adj,dominant,n,paradigm,
562,,adj,dominant,n,position,
563,,adj,dominant,n,role,
564,,adj,dramatic,n,change,
565,,adj,dramatic,n,effect,
566,,adj,dramatic,n,increase,
567,,v,draw,n,attention,(to)
568,,v,draw,n,(a) conclusion,
569,,v,draw,n,(a) distinction,
570,,v,draw,n,(a) line,
571,,adj,driving,n,force,
572,,adj,due,n,process,
573,,adj,dynamic,n,equilibrium,
574,,adj,dynamic,n,nature,
575,,adj,dynamic,n,process,
576,,adj,dynamic,n,system,
577,,adj,earlier,n,discussion,
578,,adj,earlier,n,period,
579,,adj,earlier,n,research,
580,,adj,earlier,n,stage,
581,,adj,earlier,n,study,
582,,adj,earlier,n,times,
583,,adj,earlier,n,version,
584,,adj,earlier,n,work,
585,,adj,early,n,decades,
586,,adj,early,n,study,
587,,adv,easily,adj,accessible,
588,(be),adv,easily,vpp,identified,
589,(be),adv,easily,vpp,understood,
590,,adj,easy,n,access,
591,,adj,economic,n,activity,
592,,adj,economic,n,affairs,
593,,adj,economic,n,analysis,
594,,adj,economic,n,benefits,
595,,adj,economic,n,change,
596,,adj,economic,n,conditions,
597,,adj,economic,n,consequences,
598,,adj,economic,n,context,
599,,adj,economic,n,crisis,
600,,adj,economic,n,exploitation,
601,,adj,economic,n,factors,
602,,adj,economic,n,forces,
603,,adj,economic,n,goal,
604,,adj,economic,n,growth,
605,,adj,economic,n,inequality,
606,,adj,economic,n,integration,
607,,adj,economic,n,interests,
608,,adj,economic,n,policy,
609,,adj,economic,n,power,
610,,adj,economic,n,prosperity,
611,,adj,economic,n,reform,
612,,adj,economic,n,relations,
613,,adj,economic,n,relationships,
614,,adj,economic,n,resources,
615,,adj,economic,n,sector,
616,,adj,economic,n,stability,
617,,adj,economic,n,status,
618,,adj,economic,n,structure,
619,,adj,economic,n,success,
620,,adj,economic,n,system,
621,,adj,economic,n,theory,
622,,adj,economic,n,value,
623,,adj,economic,n,welfare,
624,,adj,educational,n,institution,
625,,adj,educational,n,opportunity,
626,,adj,educational,n,policy,
627,,adj,educational,n,programme,
628,,adj,educational,n,provision,
629,,adj,educational,n,qualification,
630,,adj,educational,n,research,
631,,adj,educational,n,setting,
632,,adj,educational,n,system,
633,,adj,effective,n,communication,
634,,adj,effective,n,implementation,
635,,adj,effective,n,intervention,
636,,adj,effective,n,management,
637,,adj,effective,n,method,
638,,adj,effective,n,participation,
639,,adj,effective,n,policy,
640,,adj,effective,n,treatment,
641,,adj,electronic,n,access,
642,,adj,electronic,n,communication,
643,,adj,electronic,n,media,
644,,adj,electronic,n,resources,
645,,adj,electronic,n,version,
646,,adj,emotional,n,impact,
647,,adj,emotional,n,intelligence,
648,,adj,emotional,n,reaction,
649,,adj,emotional,n,response,
650,,adj,emotional,n,support,
651,,adj,empirical,n,data,
652,,adj,empirical,n,evidence,
653,,adj,empirical,n,investigation,
654,,adj,empirical,n,research,
655,,adj,empirical,n,study,
656,,adj,empirical,n,support,
657,,adj,empirical,n,work,
658,,v,employ,n,(a) method,
659,,v,employ,n,(a) technique,
660,,n,employment,n,opportunities,
661,,v,encounter,n,difficulties,
662,,v,encounter,n,problems,
663,,v,encourage,n,(the) development,(of)
664,,v,engage in,n,(an) activity,
665,,v,enhance,n,learning,
666,,v,enhance,n,performance,
667,(an),adj,enormous,n,amount,(of)
668,(an),adj,enormous,n,impact,
669,,adj,entire,n,period,
670,(the),adj,entire,n,range,(of)
671,,adv,entirely,adj,clear,
672,,adv,entirely,adj,different,
673,,adv,entirely,adj,new,
674,,adj,environmental,n,changes,
675,,adj,environmental,n,concern,
676,,adj,environmental,n,consequences,
677,,adj,environmental,n,damage,
678,,adj,environmental,n,degradation,
679,,adj,environmental,n,effects,
680,,adj,environmental,n,factors,
681,(the),adj,environmental,n,impact,(of)
682,,adj,environmental,n,issues,
683,,adj,environmental,n,policy,
684,,adj,environmental,n,pollution,
685,,adj,environmental,n,protection,
686,,adj,equal,n,access,(to)
687,,adj,equal,n,opportunity,
688,,adj,equal,n,status,
689,,adj,equal,n,treatment,
690,,adv,equally,adj,important,
691,,adv,equally,adj,likely,
692,,adv,equally,adj,true,
693,,adv,equally,adj,valid,
694,,adj,essential,n,component,
695,,adj,essential,n,element,
696,,adj,essential,n,feature,
697,,adj,essential,n,function,
698,,adj,essential,n,information,
699,,adj,essential,n,role,
700,,v,establish,n,(a) relationship,
701,,adj,established,n,order,
702,,adj,established,n,practice,
703,,adj,established,n,principle,
704,,adj,ethical,n,consideration,
705,,adj,ethical,n,dilemma,
706,,adj,ethical,n,issue,
707,,adj,ethical,n,principle,
708,,adj,ethical,n,problem,
709,,adj,ethical,n,question,
710,,adj,ethnic,n,community,
711,,adj,ethnic,n,difference,
712,,adj,ethnic,n,diversity,
713,,adj,ethnic,n,group,
714,,adj,ethnic,n,identity,
715,,adj,ethnic,n,minority,
716,,adj,ethnic,n,origin,
717,,adv,ever,adj,changing,
718,,adv,ever,adj,increasing,
719,,adj,evolutionary,n,process,
720,,adj,evolutionary,n,theory,
721,,v,examine,n,(the) role,(of)
722,,adj,exceptional,n,case,
723,,adj,exceptional,n,circumstances,
724,,v,exercise,n,authority,
725,,adj,existing,n,data,
726,,adj,existing,n,research,
727,,adj,existing,n,structure,
728,,v,expand,adv,rapidly,
729,,v,experience,n,difficulties,
730,,v,experience,n,problems,
731,,adj,experiential,n,learning,
732,,adj,experimental,n,conditions,
733,,adj,experimental,n,data,
734,,adj,experimental,n,design,
735,,adj,experimental,n,evidence,
736,,adj,experimental,n,method,
737,,adj,experimental,n,research,
738,,adj,experimental,n,results,
739,,adj,experimental,n,study,
740,,adj,experimental,n,work,
741,,n,expert,n,opinion,
742,,adj,explanatory,n,power,
743,,v,explore,adv,further,
744,,v,explore,n,(an) issue,
745,,adj,extended,n,period,
746,,adj,extensive,n,research,
747,(be),adv,extensively,vpp,used,
748,,adj,external,n,environment,
749,,adj,external,n,factors,
750,,adj,external,n,forces,
751,,adj,external,n,influences,
752,,adj,external,n,source,
753,,adj,external,n,threat,
754,,adj,external,n,world,
755,,v,extract,n,data,
756,,v,extract,n,information,
757,,adv,extremely,adj,complex,
758,,adv,extremely,adj,powerful,
759,,adv,extremely,adj,sensitive,
760,,adv,extremely,adj,useful,
761,,adv,extremely,adj,valuable,
762,,v,face,n,difficulties,
763,,v,face,n,discrimination,
764,,v,face,n,(a) challenge,
765,,v,face,n,(a) dilemma,
766,,v,face,n,(a) problem,
767,,adj,facial,n,expression,
768,,v,facilitate,n,(the) development,(of)
769,,adj,factual,n,information,
770,,adj,fair,n,treatment,
771,,adv,fairly,adj,clear,
772,,adv,fairly,adj,common,
773,,adv,fairly,adj,obvious,
774,,adv,fairly,adj,straightforward,
775,,v,fall into,n,(the) category,(of)
776,(be),adv,far,vpp,removed,(from)
777,(the),adj,federal,n,agency,
778,(a/the),adj,federal,n,government,
779,,adj,federal,n,state,
780,,adj,feminist,n,movement,
781,,n,field,n,research,
782,,adj,final,n,analysis,
783,,adj,final,n,answer,
784,,adj,final,n,chapter,
785,,adj,final,n,decision,
786,,adj,final,n,outcome,
787,,adj,final,n,phase,
788,,adj,final,n,point,
789,,adj,final,n,position,
790,,adj,final,n,product,
791,,adj,final,n,result,
792,,adj,final,n,section,
793,,adj,final,n,stage,
794,,adj,final,n,step,
795,,adj,final,n,version,
796,,adj,financial,n,affairs,
797,,adj,financial,n,assistance,
798,,adj,financial,n,institution,
799,,adj,financial,n,management,
800,,adj,financial,n,market,
801,,adj,financial,n,problem,
802,,adj,financial,n,resources,
803,,adj,financial,n,support,
804,,v,find,n,evidence,(of)
805,,v ,find ,n,information,
806,(a),adj,finite,n,number,(of)
807,(be),adv,firmly,vpp,established,
808,,adj,first,n,author,
809,,adj,first,n,contact,
810,(the),adj,first,n,draft,
811,,adj,first,n,encounter,
812,,adj,first,n,generation,
813,,adj,first,n,impression,
814,,adj,first,n,phase,
815,,adj,first,n,priority,
816,,adj,flexible,n,approach,
817,,adj,focal,n,point,
818,,v,focus,n,attention,(on)
819,,v,focus on,n,(an) aspect,
820,,v,follow,n,(a) format,
821,,v,follow,n,(a) procedure,
822,,v,follow,n,instructions,
823,,adj,following,n,chapter,
824,,adj,foreign,n,currency,
825,,adj,foreign,n,investment,
826,,adj,foreign,n,investor,
827,,adj,foreign,n,policy,
828,,adj,formal,n,structure,
829,(provide),adj,free,n,access,
830,,adj,free,n,movement,
831,,adv,freely,adj,available,
832,(be),adv,frequently,vpp,cited,
833,(be),adv,frequently,vpp,found,
834,(be),adv,frequently,vpp,referred,(to)
835,(be),adv,frequently,vpp,used,
836,,v,fulfil,n,(an) obligation,
837,,adj,full,n,analysis,
838,,adj,full,n,employment,
839,,adj,full,n,information,
840,,adj,full,n,participation,
841,,adj,full,n,potential,
842,(a/the),adj,full,n,range,(of)
843,,adj,fuller,n,discussion,
844,,adv,fully,adj,aware,(of)
845,(be),adv,fully,vpp,developed,
846,(be),adv,fully,vpp,informed,
847,(be),adv,fully,vpp,integrated,
848,(be),adv,fully,vpp,realized,
849,,adv,fully,v,understand,
850,(a),adj,functional,n,requirement,
851,,adj,fundamental,n,aspect,
852,,adj,fundamental,n,assumption,
853,,adj,fundamental,n,change,
854,,adj,fundamental,n,component,
855,,adj,fundamental,n,difference,
856,,adj,fundamental,n,importance,
857,,adj,fundamental,n,principle,
858,,adj,fundamental,n,problem,
859,,adj,fundamental,n,question,
860,,adv,fundamentally,adj,different,
861,,adj,further,n,analysis,
862,,adj,further,n,consideration,
863,,adj,further,n,development,
864,(be),adv,further,vpp,divided,(into)
865,,adj,further,n,evidence,
866,,adj,further,n,explanation,
867,,adj,further,n,information,
868,,adj,further,n,investigation,
869,,adj,further,n,research,
870,,adj,further,n,study,
